,locus_tag,protein_id,gene,start,end,strand,pseudo,product,db_xref,EC_number,old_locus_tag,inference
CDS_CP060011.1_648_2046_pos,H5029_00005,QPN99746.1,dnaA,648,2046,pos,,chromosomal replication initiator protein DnaA,,,,COORDINATES: similar to AA sequence:RefSeq:YP_004996698.1
CDS_CP060011.1_2143_3292_pos,H5029_00010,QPN99747.1,,2143,3292,pos,,DNA polymerase III subunit beta,,2.7.7.7,,COORDINATES: similar to AA sequence:RefSeq:WP_010116376.1
CDS_CP060011.1_3306_4389_pos,H5029_00015,QPN99748.1,recF,3306,4389,pos,,DNA replication/repair protein RecF,,,,COORDINATES: similar to AA sequence:RefSeq:YP_004996701.1
CDS_CP060011.1_4441_6910_pos,H5029_00020,QPN99749.1,gyrB,4441,6910,pos,,DNA topoisomerase (ATP-hydrolyzing) subunit B,,,,COORDINATES: similar to AA sequence:RefSeq:YP_004996702.1
CDS_CP060011.1_6947_7340_pos,H5029_00025,QPN99750.1,cybC,6947,7340,pos,,cytochrome b562,,,,COORDINATES: similar to AA sequence:RefSeq:YP_004996703.1
CDS_CP060011.1_7425_7983_neg,H5029_00030,QPN99751.1,,7425,7983,neg,,VTT domain-containing protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_001009196.1
CDS_CP060011.1_8233_10165_neg,H5029_00035,QPN99752.1,,8233,10165,neg,,ATP-binding cassette domain-containing protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_006581465.1
CDS_CP060011.1_10417_11422_pos,H5029_00040,QPN99753.1,,10417,11422,pos,,RND transporter,,,,COORDINATES: similar to AA sequence:RefSeq:YP_004996706.1
CDS_CP060011.1_11677_12685_pos,H5029_00045,QPN99754.1,,11677,12685,pos,,RND transporter,,,,COORDINATES: similar to AA sequence:RefSeq:WP_004745104.1
CDS_CP060011.1_13027_14032_pos,H5029_00050,QPN99755.1,,13027,14032,pos,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_004996709.1
CDS_CP060011.1_14156_14492_pos,H5029_00055,QPN99756.1,erpA,14156,14492,pos,,iron-sulfur cluster insertion protein ErpA,,,,COORDINATES: similar to AA sequence:RefSeq:YP_004996710.1
CDS_CP060011.1_14549_15395_neg,H5029_00060,QPN99757.1,,14549,15395,neg,,alpha/beta fold hydrolase,,,,COORDINATES: similar to AA sequence:RefSeq:WP_000366412.1
CDS_CP060011.1_15522_16650_neg,H5029_00065,QPN99758.1,,15522,16650,neg,,anhydro-N-acetylmuramic acid kinase,,2.7.1.170,,COORDINATES: similar to AA sequence:RefSeq:WP_019456687.1
CDS_CP060011.1_16711_17944_pos,H5029_00070,QPN99759.1,,16711,17944,pos,,tyrosine--tRNA ligase,,6.1.1.1,,COORDINATES: similar to AA sequence:RefSeq:WP_020752654.1
CDS_CP060011.1_24323_24923_pos,H5029_00100,QPN99760.1,,24323,24923,pos,,glutathione S-transferase family protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_000587881.1
CDS_CP060011.1_24980_25676_neg,H5029_00105,QPN99761.1,,24980,25676,neg,,TIGR04219 family outer membrane beta-barrel protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_001985341.1
CDS_CP060011.1_26303_27782_pos,H5029_00110,QPN99762.1,,26303,27782,pos,,sodium-dependent transporter,,,,COORDINATES: similar to AA sequence:RefSeq:YP_004997199.1
CDS_CP060011.1_27794_27938_pos,H5029_00115,QPN99763.1,,27794,27938,pos,,methionine/alanine import family NSS transporter small subunit,,,,COORDINATES: protein motif:HMM:NF028261.1
CDS_CP060011.1_27980_29285_neg,H5029_00120,QPN99764.1,rsmB,27980,29285,neg,,16S rRNA (cytosine(967)-C(5))-methyltransferase RsmB,,2.1.1.176,,COORDINATES: similar to AA sequence:RefSeq:YP_004997197.1
CDS_CP060011.1_29281_30244_neg,H5029_00125,QPN99765.1,fmt,29281,30244,neg,,methionyl-tRNA formyltransferase,,2.1.2.9,,COORDINATES: similar to AA sequence:RefSeq:YP_004997196.1
CDS_CP060011.1_30592_32422_pos,H5029_00130,QPN99766.1,ilvD,30592,32422,pos,,dihydroxy-acid dehydratase,,4.2.1.9,,COORDINATES: similar to AA sequence:RefSeq:YP_004997195.1
CDS_CP060011.1_32735_34025_pos,H5029_00135,QPN99767.1,,32735,34025,pos,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_004997194.1
CDS_CP060011.1_34128_34836_pos,H5029_00140,QPO01357.1,,34128,34836,pos,,sulfite exporter TauE/SafE family protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_004997193.1
CDS_CP060011.1_34844_35735_neg,H5029_00145,QPN99768.1,,34844,35735,neg,,LysR family transcriptional regulator,,,,COORDINATES: similar to AA sequence:RefSeq:YP_004997192.1
CDS_CP060011.1_35814_37110_neg,H5029_00150,QPN99769.1,,35814,37110,neg,,pyrimidine utilization transport protein G,,,,COORDINATES: similar to AA sequence:RefSeq:YP_004997191.1
CDS_CP060011.1_37410_40095_neg,H5029_00155,QPN99770.1,ppc,37410,40095,neg,,phosphoenolpyruvate carboxylase,,4.1.1.31,,COORDINATES: similar to AA sequence:RefSeq:YP_004997190.1
CDS_CP060011.1_40265_40889_neg,H5029_00160,QPN99771.1,,40265,40889,neg,,TetR/AcrR family transcriptional regulator,,,,COORDINATES: similar to AA sequence:RefSeq:YP_004997189.1
CDS_CP060011.1_41038_42139_pos,H5029_00165,QPN99772.1,,41038,42139,pos,,efflux RND transporter periplasmic adaptor subunit,,,,COORDINATES: similar to AA sequence:RefSeq:WP_001050646.1
CDS_CP060011.1_42141_45267_pos,H5029_00170,QPN99773.1,,42141,45267,pos,,efflux RND transporter permease subunit,,,,COORDINATES: similar to AA sequence:RefSeq:YP_004997187.1
CDS_CP060011.1_45406_45784_pos,H5029_00175,QPN99774.1,,45406,45784,pos,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_004997186.1
CDS_CP060011.1_45888_47001_pos,H5029_00180,QPN99775.1,dnaJ,45888,47001,pos,,molecular chaperone DnaJ,,,,COORDINATES: similar to AA sequence:RefSeq:YP_004997185.1
CDS_CP060011.1_47115_47466_neg,H5029_00185,QPN99776.1,,47115,47466,neg,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_004997184.1
CDS_CP060011.1_47650_48472_pos,H5029_00190,QPN99777.1,dapB,47650,48472,pos,,4-hydroxy-tetrahydrodipicolinate reductase,,1.17.1.8,,COORDINATES: similar to AA sequence:RefSeq:YP_004997183.1
CDS_CP060011.1_48523_49177_pos,H5029_00195,QPN99778.1,,48523,49177,pos,,START domain-containing protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_004997182.1
CDS_CP060011.1_49217_50408_neg,H5029_00200,QPN99779.1,,49217,50408,neg,,MFS transporter,,,,COORDINATES: similar to AA sequence:RefSeq:YP_004997181.1
CDS_CP060011.1_50412_51216_neg,H5029_00205,QPN99780.1,dkgB,50412,51216,neg,,"2,5-didehydrogluconate reductase DkgB",,1.1.1.346,,COORDINATES: similar to AA sequence:RefSeq:WP_001025219.1
CDS_CP060011.1_51336_52239_pos,H5029_00210,QPN99781.1,,51336,52239,pos,,LysR family transcriptional regulator,,,,COORDINATES: similar to AA sequence:RefSeq:YP_004997178.1
CDS_CP060011.1_52222_52597_neg,H5029_00215,QPN99782.1,,52222,52597,neg,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_004997177.1
CDS_CP060011.1_52604_52727_neg,H5029_00220,QPN99783.1,,52604,52727,neg,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_004997176.1
